Label, PI value, Time [s], OMP Threads, Iteration No.
FOR parallel Execution, 0.000000, 0.086879, 20, 0
FOR parallel Execution, 0.000000, 0.082834, 21, 0
FOR parallel Execution, 0.000000, 0.078683, 22, 0
FOR parallel Execution, 0.000000, 0.075362, 23, 0
FOR parallel Execution, 0.000000, 0.072736, 24, 0
FOR parallel Execution, 0.000000, 0.069389, 25, 0
FOR parallel Execution, 0.000000, 0.067216, 26, 0
FOR parallel Execution, 0.000000, 0.065272, 27, 0
FOR parallel Execution, 0.000000, 0.062436, 28, 0
FOR parallel Execution, 0.000000, 0.060195, 29, 0
FOR parallel Execution, 0.000000, 0.058133, 30, 0
FOR parallel Execution, 0.000000, 0.055929, 31, 0
FOR parallel Execution, 0.000000, 0.054687, 32, 0
FOR parallel Execution, 0.000000, 0.052925, 33, 0
FOR parallel Execution, 0.000000, 0.051654, 34, 0
FOR parallel Execution, 0.000000, 0.049755, 35, 0
FOR parallel Execution, 0.000000, 0.048414, 36, 0
FOR parallel Execution, 0.000000, 0.047682, 37, 0
FOR parallel Execution, 0.000000, 0.045650, 38, 0
FOR parallel Execution, 0.000000, 0.044928, 39, 0
FOR parallel Execution, 0.000000, 0.043313, 40, 0
FOR parallel Execution, 0.000000, 0.042574, 41, 0
FOR parallel Execution, 0.000000, 0.041711, 42, 0
FOR parallel Execution, 0.000000, 0.040985, 43, 0
FOR parallel Execution, 0.000000, 0.040069, 44, 0
FOR parallel Execution, 0.000000, 0.039133, 45, 0
FOR parallel Execution, 0.000000, 0.038192, 46, 0
FOR parallel Execution, 0.000000, 0.037322, 47, 0
FOR parallel Execution, 0.000000, 0.036688, 48, 0
FOR parallel Execution, 0.000000, 0.035941, 49, 0
FOR parallel Execution, 0.000000, 0.035292, 50, 0
FOR parallel Execution, 0.000000, 0.034596, 51, 0
FOR parallel Execution, 0.000000, 0.033881, 52, 0
FOR parallel Execution, 0.000000, 0.033280, 53, 0
FOR parallel Execution, 0.000000, 0.032562, 54, 0
FOR parallel Execution, 0.000000, 0.032204, 55, 0
FOR parallel Execution, 0.000000, 0.031566, 56, 0
FOR parallel Execution, 0.000000, 0.031025, 57, 0
FOR parallel Execution, 0.000000, 0.029918, 58, 0
FOR parallel Execution, 0.000000, 0.029714, 59, 0
FOR parallel Execution, 0.000000, 0.029365, 60, 0
FOR parallel Execution, 0.000000, 0.028718, 61, 0
FOR parallel Execution, 0.000000, 0.028644, 62, 0
FOR parallel Execution, 0.000000, 0.027838, 63, 0
FOR parallel Execution, 0.000000, 0.027891, 64, 0
FOR parallel Execution, 0.000000, 0.026975, 65, 0
FOR parallel Execution, 0.000000, 0.026541, 66, 0
FOR parallel Execution, 0.000000, 0.025926, 67, 0
FOR parallel Execution, 0.000000, 0.026135, 68, 0
FOR parallel Execution, 0.000000, 0.025697, 69, 0
FOR parallel Execution, 0.000000, 0.025388, 70, 0
FOR parallel Execution, 0.000000, 0.025382, 71, 0
FOR parallel Execution, 0.000000, 0.024757, 72, 0
FOR parallel Execution, 0.000000, 0.025087, 73, 0
FOR parallel Execution, 0.000000, 0.024801, 74, 0
FOR parallel Execution, 0.000000, 0.024178, 75, 0
FOR parallel Execution, 0.000000, 0.024728, 76, 0
FOR parallel Execution, 0.000000, 0.023741, 77, 0
FOR parallel Execution, 0.000000, 0.023883, 78, 0
FOR parallel Execution, 0.000000, 0.022927, 79, 0
FOR parallel Execution, 0.000000, 0.023855, 80, 0
FOR parallel Execution, 0.000000, 0.022606, 81, 0
FOR parallel Execution, 0.000000, 0.022580, 82, 0
FOR parallel Execution, 0.000000, 0.022015, 83, 0
FOR parallel Execution, 0.000000, 0.022164, 84, 0
FOR parallel Execution, 0.000000, 0.022306, 85, 0
FOR parallel Execution, 0.000000, 0.021500, 86, 0
FOR parallel Execution, 0.000000, 0.021098, 87, 0
FOR parallel Execution, 0.000000, 0.021636, 88, 0
FOR parallel Execution, 0.000000, 0.021187, 89, 0
FOR parallel Execution, 0.000000, 0.021403, 90, 0
FOR parallel Execution, 0.000000, 0.020660, 91, 0
FOR parallel Execution, 0.000000, 0.020486, 92, 0
FOR parallel Execution, 0.000000, 0.020328, 93, 0
FOR parallel Execution, 0.000000, 0.020897, 94, 0
FOR parallel Execution, 0.000000, 0.020623, 95, 0
FOR parallel Execution, 0.000000, 0.019872, 96, 0
FOR parallel Execution, 0.000000, 0.020175, 97, 0
FOR parallel Execution, 0.000000, 0.019422, 98, 0
FOR parallel Execution, 0.000000, 0.019406, 99, 0
